SCP #,Title,rating,Classification,Type,Related GOI(s),Location Notes,Author,Leaked info,Humanoid or Structure,"Animal, Computer or Extradimensional",Autonomous or Cognitohazard),"Artifact, Location or Sentient",Summary,Gender,,Ethnicity / Origins
2029,An Egg in a Jar,,euclid,liquid,,,,,,,,,,,,
2031,Ant farm,,euclid,animal,,,,,,animal,,,,,,
2032,Father Time,,keter,humanoid,,,,,humanoid,,,sentient,,,,
2033,Coincidental Tree,,safe,extraterrestrial,,,,,,,,,,,,
2034,Tussaud's Delusion,,keter,electronic,,,,,,,,,,,,
2035,Instant Animals,,euclid,animal,,,,,,animal,,,,,,
2036,Fire Rabbits,,euclid,animal,,,,,,animal,,,,,,
2037,Dust Bunnies,,safe,animal,,,,,,animal,,sentient,,,,
2038,Unstable Standees,,euclid,transfiguration,,,,,,,,,,,,
2039,Pikes 'n' Wagners,,euclid,humanoid,,,,,humanoid,,autonomous,,,,,
2040,The Iron Messenger,,euclid,computer,,,,,,computer,,sentient,,,,
2041,Merry-Go-View,,safe,toy,,,,,,,,,,,,
2042,One-man Opera,,euclid,humanoid,MC&D Ltd,,,,humanoid,,,sentient,,,,
2043,REMEMBER ME,,keter,humanoid,,,,,humanoid,,cognitohazard,,,female,,white
2044,Big Wigs,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2045,Ambulatory Molasses Generator,,euclid,humanoid,,,,,humanoid,,,,,,,
2046,Mendeleev's Nightmare,,euclid,cognitohazard,,,,,,,cognitohazard,artifact,,,,
2047,Collaboration,,keter,extradimensional,,,,,,extradimensional,,,,,,
2049,The Interdimensional Weather Station,,keter,humanoid,,,,,humanoid,extradimensional,,sentient,,,,
2050,Sciurine Crusaders,,safe,animal,,,,,,animal,,sentient,,,,
2051,Stromatolite Habitat,,safe,transfiguration,,,,,,,,,,,,
2052,Perpetual Motion Cloth,,euclid,artifact,,,,,,,,artifact,,,,
2053,Paternal Rubik's Cube,,safe,autonomous,,,,,,,autonomous,sentient,,,,
2054,The Double,,safe,humanoid,,,,,humanoid,,,sentient,,,,
2055,Voir Dire,,keter,mind-affecting,,,,,,,,,,,,
2056,Tsiatko,,euclid,humanoid,,,,,humanoid,animal,,sentient,,,,
2057,You Are What You Eat,,safe,animal,Dr. Wondertainment,,,,,animal,cognitohazard,sentient,,,,
2058,Smith Jim,,safe,extradimensional,,,,,,extradimensional,,,,,,
2059,Wall of Flesh,,euclid,sentient,,,,,,,,sentient,,,,
2060,We Burn Every Day,,safe,humanoid,,,,,humanoid,,,sentient,,,,
2061,Entire Local Family Chokes To Death On Single Calculator,,safe,computer,,,,,,computer,cognitohazard,,,,,
2062,Kronecker,,Kronecker,extradimensional,,,,,,extradimensional,,,,,,
2063,A Past Vision of the Future,,euclid,autonomous,,,,,,,autonomous,,,,,
2064,Mayhem Dressed in a Suit,,safe,humanoid,,,,,humanoid,,,sentient,,,,
2065,Empty Inside,,euclid,cognitohazard,,,,,,,cognitohazard,,,,,
2066,Highly Visible Entity,,euclid,humanoid,,,,,humanoid,,cognitohazard,,,,,
2067,Shah's Guardian,,euclid,autonomous,ORIA,,,,,,autonomous,sentient,,,,
2068,Chaos Pump,,keter,computer,,,,,,computer,autonomous,sentient,,,,
2069,AEGIS,,safe,extradimensional,Global Occult C.,,,,,extradimensional,,artifact,,,,
2070,The Fingers of God,,keter,extraterrestrial,,,,,,,,,,,,
2071,"Sir Michael Cavendish, in the Guise of the King of Serpents",,safe,artistic,,,,,,,,,,,,
2072,Prime Ministerial Pet Cemetery,,safe,location,,,,,,,,location,,,,
2073,One Last Lullaby,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2074,Sinkbait,,safe,electronic,,,,,,,,,,,,
2075,The Way of All Flesh,,keter,sentient,GRU-P,,,,,,,sentient,,,,
2076,Shooting Yourself Can Increase Your Bullet Resistance,,keter,cognitohazard,,,,,,,cognitohazard,,,,,
2077,Miracle Stuff,,keter,container,,,,,,,,,,,,
2078,Third Party,,keter,humanoid,,,,,humanoid,,,,,,,
2079,The Law of the Grokodus,,keter,sapient,,,,,,,,,,,,
2080,Dads House,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2081,Making Your Dreams Your Reality,,safe,visual,,,,,,,,,,,,
2082,What Killed The Dinosaurs?,,neutralized,animal,,,,,,animal,autonomous,,,,,
2083,Hoboken Bunion Emergency,,safe,humanoid,,,,,humanoid,,autonomous,,,,,
2084,Anabasis,,safe,building,,,,,,,,,,,,
2085,The Black Rabbit Company,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2086,Rerouting,,keter,animal,,,,,,animal,,,,,,
2087,The Best of All Possible Worlds,,euclid,spacetime,,,,,,,,,,,,
2088,The MC&D Center,,euclid,extraterrestrial,MC&D Ltd,,,,,,,,,,,
2089,/john/,,euclid,computer,,,,,,computer,cognitohazard,location,,,,
2090,Potentially XK Tim Duncan,,euclid,humanoid,,,,,humanoid,,,sentient,,,,not caucasian (?)
2091,A Bear and His Granddaughter,,safe,humanoid,Serpents Hand,,,,humanoid,animal,autonomous,sentient,,,,
2092,Space Riddle,,safe,extraterrestrial,,,,,,,,,,,,
2093,Open Alpha,,euclid,extradimensional,,,,,,extradimensional,autonomous,location,,,,
2094,Motormouth,,euclid,humanoid,Herman Fuller,,,,humanoid,,,sentient,,,,
2095,The Siege of Gyaros,,safe,building,Sarkicism,,,,,,,,,,,
2096,Elder Care,,euclid,humanoid,,,,,humanoid,,,sentient,,female,,white
2097,The Perfect Foil,,safe,sentient,,,,,,,,sentient,,,,
2098,Saint Simon's Day,,keter,cognitohazard,,,,,,,cognitohazard,,,,,
2099,Brain in a Jar,,euclid,humanoid,,,,,humanoid,,,artifact / sentient,,,,
2100,Tripwire,,keter,structure,,,,,structure,,,,,,,
2101,The Imperial Army,,euclid,humanoid,,,,,humanoid,,autonomous,sentient,,,,
2102,Got Shoggoth?,,euclid,humanoid,GRU-P,,,,humanoid,,,sentient,,,,
2103,Thought Preserves,,safe,container,,,,,,,,,,,,
2104,The King by the Tree,,euclid,humanoid,,,,,humanoid,extradimensional / animal,,sentient / location,,,,
2105,Programmable Occult,,euclid,computer,Broken God,,,,,computer,,,,,,
2106,A Conspiracy of Ravens,,safe,humanoid,,,,,humanoid,animal,,sentient,,,,
2107,Diet Ghost™,,euclid,artifact,,,,,,,,artifact,,,,
2108,Another Sun,,euclid,biohazard,,,,,,,,,,,,
2109,A Tragic Accident,,euclid,humanoid,,,,,humanoid,,cognitohazard,,,,,
2110,Safe Haven,,safe,humanoid,,,,,humanoid,,,sentient,,,,
2111,If You Can Read This…,,neutralized?,cognitohazard,,,,,,,cognitohazard,,,,,
2112,And the Meek Shall Inherit the Earth,,keter,cognitohazard,,,,,,,cognitohazard,,,,,
2113,Haunted Liopleurodon Skull,,euclid,skeletal,,,,,,,,,,,,
2114,Technological Rodents,,euclid,animal,,,,,,animal,,,,,,
2115,Meet Other People,,safe,extradimensional computer,,,,,,extradimensional / computer,,,,,,
2116,Lonely Ragdoll,,safe,humanoid,,,,,humanoid,,,,,,,
2117,An Oxidist,,safe,extradimensional,,,,,,extradimensional,autonomous,sentient,,,,
2118,The Lost Child,,safe,humanoid,,,,,humanoid,,,,,,,
2119,Transmitting Parasite,,euclid,sentient,,,,,,,,sentient,,,,
2120,Damage Control,,euclid,extradimensional,,,,,,extradimensional,,,,,,
2121,Gods' Noose,,safe,artifact,Horizon Initiative,,,,,,,artifact,,,,
2122,The Black Hole,,safe,electronic,,,,,,,,,,,,
2123,I Accidentally the Whole Universe,,keter,structure,,,,,structure,,,artifact,,,,
2124,Conceptual Knife,,safe,container,,,,,,,,,,,,
2125,The Hanging Tree,,safe,plant,,,,,,,,,,,,
2126,Letter from Grandma,,safe,cognitohazard,,,,,,,cognitohazard,,,,,
2127,Hinterkai-fun!,,safe,extradimensional,,,,,,extradimensional,,,,,,
2128,The Liars' Cradle,,safe,sentient,,,,,,,,artifact / sentient,,,,
2129,Hot-Blooded Snake,,euclid,visual,,,,,,,,,,,,
2130,Office Furniture,,safe,furniture,,,,,,,,,,,,
2131,Antipope,,keter,humanoid,MC&D Ltd,,,,humanoid,,,sentient,,,,
2132,Most Dangerous Fighting Exhibition and Obstacle Resort,,euclid,extradimensional,MC&D Ltd,,,,,extradimensional,,,,,,
2133,"Our Land, Our Bondage",,euclid,humanoid,"GRU-P,Sarkicism",,,,humanoid,,,sentient,,,,
2134,Safety,,euclid,humanoid,,,,,humanoid,,cognitohazard,,,,,
2135,91st Street Station,,euclid,structure,,,,,structure,extradimensional,,,,,,
2136,An Utterly Driven Scientist,,euclid,visual,,,,,,,,,,,,
2137,The Forensic Ghost Of Tupac Shakur,,keter,knowledge,,,,,,,,,,,,
2138,"Secrets, secrets are no fun…",,safe,biohazard,,,,,,,,,,,,
2139,The White Elephant,,safe,animal,,,,,,animal,,,,,,
2140,Retroconverter,,thaumiel,visual,,,,,,,,,,,,
2141,Primordial Wyrm,,euclid,location,,,,,,,,location,,,,
2142,Just Clap Your Hands,,safe,acoustic,,,,,,,,,,,,
2143,Singin' in the Rain,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2144,Misconception of a Brainchild,,euclid,animal,,,,,,animal,,sentient,,,,
2146,The Space Whale,,euclid,media,,,,,,,,,,,,
2147,Neverglades,,euclid,location,Unusual Incidents U.,,,,,,,location,,,,
2148,Mr. Stripes,,euclid,humanoid,Dr. Wondertainment,,,,humanoid,,,sentient,,Male,,Indian
2149,A Grinder of Metal,,safe,ectoentropic,,,,,,,,,,,,
2150,A Breach of Command,,keter,cognitohazard,,,,,,,cognitohazard,,,,,
2151,The Ties That Bind Us,,safe,ectoentropic,,,,,,,,,,,,
2152,Home™,,euclid,ectoentropic,,,,,,,,,,,,
2153,Charitable Clovers,,euclid,plant,,,,,,,,,,,,
2154,Space nowadays,,safe,building,,,,,,,,,,,,
2155,The Mexica Government in Exile,,euclid,cognitohazard,Fifthist,,,,,,cognitohazard,,,,,
2156,Red and Black,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2157,The Human Forest,,euclid,humanoid,,,,,humanoid,,,location,,,,Asian
2158,The Gun That Never Misses,,safe,Weapon,,,,,,,,,,,,
2159,"Head-""Kannon""",,euclid,visual,,,,,,,,,,,,
2160,The Happy Place,,euclid,knowledge,,,,,,,,,,,,
2161,Blank Space,,euclid,computer,,,,,,computer,,,,,,
2162,… as normal as blueberry pie,,keter,autonomous,,,,,,,autonomous,,,,,
2163,Hollywood,,keter,cognitohazard,,,,,,,cognitohazard,,,,,
2164,Magical Two: Electric Boogaloo,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2165,Irredeemable,,none,meta,,,,,,,,,,,,
2166,The Reformation,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2167,Demon Gate Amplifier,,euclid,electronic,,,,,,,,,,,,
2168,Progress,,keter,humanoid structure,,,,,humanoid / structure,,,sentient,,,,
2169,Conversational Surgery,,euclid,humanoid,,,,,humanoid,extradimensional,autonomous,sentient / location,,,,
2170,The Clown Vaccine,,euclid,cognitohazard,,,,,,,cognitohazard,location,,,,
2171,Autumn Shepherds,,safe,humanoid,,,,,humanoid,extradimensional,autonomous,location,,,,
2172,This Light Never Turns Green,,safe,document,Horizon Initiative,,,,,,,,,,,
2173,An Interdimensional Mexican Standoff,,euclid,humanoid,"Chaos Insurgency,Global Occult C.",,,,humanoid,extradimensional,,location,,,,
2174,Miranda,,euclid,ectoentropic,,,,,,,,,,,,
2175,Are You Going,,euclid,structure,Serpents Hand,,,,structure,,,,,,,
2176,Ghostlight™,,safe,sapient,"Prometheus Labs, The Factory",,,,,,,,,,,
2177,Yellow Journal Infection,,euclid,contagion,,,,,,,,,,,,
2178,Great Sage,,euclid,humanoid,"Serpents Hand, Global Occult C.",,,,humanoid,,cognitohazard,sentient,,,,chinese
2179,False Alarm,,euclid,autonomous,,,,,,,autonomous,artifact,,,,
2180,End of the Line,,safe,humanoid,,,,,humanoid,extradimensional,,sentient,,,,
2181,Little Lock-a-Doors,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2182,The Big Bang,,euclid,autonomous,,,,,,,autonomous,artifact,,,,
2183,The Ride Never Ends,,safe,structure,,,,,structure,,,,,,,
2184,Stone Age,,euclid,animal,,,,,,animal,,sentient,,,,
2185,The Aquaform Thaumaturgic Union,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2186,Chameleonscaper,,safe,animal,,,,,,animal,,sentient,,,,
2187,Juĝo Nova,,euclid,computer,,,,,,computer,,,,,,
2188,Life and Times of Joaquín Pablo Izquierdo de San Felipe,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2189,Clockwork Fruit,,keter,plant,,,,,,,,,,,,
2190,Phone calls from Mom,,euclid,sentient,,,,,,,,sentient,,,,
2191,Dracula Factory,,keter,humanoid,Sarkicism,,,,humanoid,,,location,,,,
2192,"Milaya, the Atomic Child",,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2193,Neurophyton anomalum,,safe,parasitic,,,,,,,,,,,,
2194,Filth,,keter,biohazard,,,,,,,,,,,,
2195,Sons of the Nation,,safe,humanoid,,,,,humanoid,,,,,,,
2196,The Deep Mote,,safe,cognitohazard,,,,,,,cognitohazard,,,,,
2197,Shop Class,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2198,Mourning The World,,euclid,location,,,,,,,,location,,,,
2199,Out of the Frying Pan,,euclid,animal,,,,,,animal,,sentient,,,,
2200,Soulberg,,euclid,autonomous,,,,,,,autonomous,,,,,
2201,Cross-Dimensional Barbershop,,safe,humanoid,"MC&D Ltd,Dr. Wondertainment",,,,humanoid,extradimensional,,sentient,,,,
2202,Pythagoreomorph,,keter,autonomous,Global Occult C.,,,,,,autonomous,sentient,,,,
2203,Find the One for You!,,safe,artifact,,,,,,,,artifact,,,,
2204,Triple Threat: Intracommunal Men of Obscurity,,keter,cognitohazard,,,,,,,cognitohazard,,,,,
2205,"Mr. Dwight Montgomery-Patterson, War Hero",,euclid,temporal,,,,,,,,,,,,
2206,Maximum League Baseball,,euclid,extradimensional,,,,,,extradimensional,,,,,,
2207,Dimensional Razor,,safe,extradimensional,,,,,,extradimensional,,,,,,
2208,Deus in Furno,,safe,container,,,,,,,,,,,,
2209,Virtual Reality,,safe,ectoentropic,Prometheus Labs,,,,,,,,,,,
2210,Policy #40535: Anomalous Intelligence,,euclid,humanoid,,,,,humanoid,extradimensional,,,,,,
2211,"A .wmv, a .wav, an .exe, and a Coffee Machine",,euclid,extradimensional computer,,,,,,extradimensional / computer,,,,,,
2212,[MASSIVE DATABASE CORRUPTION],,euclid,meta,,,,,,,,,,,,
2213,Cat People,,euclid,humanoid,,,,,humanoid,extradimensional,,sentient,,,,
2214,Economy of Scale,,safe,building,GRU-P,,,,,,,,,,,
2215,I Saw the Sign,,safe,acoustic,Chaos Insurgency,,,,,,,,,,,
2217,Hammer and Anvil,,thaumiel,location,Broken God,,,,,,,location,,,,
2218,If I Only Had a Brain,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2219,PORRIDGE,,safe,electronic,,,,,,,,,,,,
2220,Halsey's Hammer,,safe,Weapon,,,,,,,,,,,,
2221,A Friendly Agreement,,keter,mind-affecting,,,,,,,,,,,,
2222,Meschk-Mernanschordbtoum-VordhosbnV7,,euclid,autonomous,,,,,,,autonomous,sentient,,,,
2223,Spamdexing Anime Images,,euclid,computer,,,,,,computer,cognitohazard,,,,,
2224,Teeter-Pult,,safe,visual,,,,,,,,,,,,
2225,Repentant Lindworm,,euclid,animal,,,,,,animal,,sentient,,,,
2226,Annihilation,,euclid,humanoid,,,,,humanoid,,,,,,,
2227,"If You See Something, Say Something",,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2228,Foundation Playsets,,safe,toy,"Dr. Wondertainment, Global Occult C.,Unusual Incidents U.",,,,,,,,,,,
2229,Legate of Ursa Major to the Senate and People of Rome,,keter,sentient,,,,,,,,sentient,,,,
2230,An Unlicensed Neurosurgeon,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2231,A Shared Identity,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2232,Birdphone. Think Different.,,safe,electronic,,,,,,,,,,,,
2233,Sociosophy,,keter,contagion,,,,,,,,,,,,
2234,Great Deals on Pineal Removal,,euclid,computer,,,,,,computer,,,,,,
2235,Mud Man,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2236,Optical Instrument,,safe,visual,,,,,,,,,,,,
2237,There is always a cost…,,thaumiel,extraterrestrial,,,,,,,,,,,,
2238,Tributary,,safe,metallic,,,,,,,,,,,,
2239,Gatherer of Gratitudes,,euclid,animal,MC&D Ltd,,,,,animal,,sentient,,,,
2240,Young Floridian Couple,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2241,Cameron The Crusader,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2242,Technical Difficulties,,euclid,extradimensional computer,,,,,,extradimensional / computer,,,,,,
2243,Peep Peepers,,safe,animal,,,,,,animal,autonomous,sentient,,,,
2244,Partition E,,keter,humanoid,,,,,humanoid,,,sentient,,,,
2245,A Dream's Nightmare,,euclid,animal,Oneiroi,,,,,animal,,sentient,,,,
2246,You Set the Scene,,safe,humanoid,,,,,humanoid,,,sentient,,,,hispanic
2247,What did I go through to seek a new employer?,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2248,The Temple of Luna Primogenita,,safe,structure,,,,,structure,,cognitohazard,location,,,,
2249,The Failed Dreamland,,euclid,extradimensional,,,,,,extradimensional,,,,,,
2250,Duck Hunt,,euclid,animal,,,,,,animal,cognitohazard,,,,,
2251,The Prince,,safe,meta,,,,,,,,,,,,
2252,Pulling Clothesline,,safe,artifact,,,,,,,,artifact,,,,
2253,The Alcohol Republic,,safe,humanoid,MC&D Ltd,,,,humanoid,,,sentient,,,,
2255,The Most Interesting Rainstorm in the World,,euclid,autonomous,,,,,,,autonomous,sentient,,,,
2256,Very Tall Things,,euclid,animal,,,,,,animal,cognitohazard,,,,,
2257,House God,,safe,sentient,,,,,,,,sentient,,,,
2259,Survival of the Foetest,,euclid,humanoid,,,,,humanoid,animal,,,,,,
2260,Traveler's Journal,,safe,transfiguration,,,,,,,,,,,,
2262,The Maddening Font,,safe,cognitohazard,,,,,,,cognitohazard,,,,,
2263,The Skeleton Gallery,,safe,ectoentropic,,,,,,,,,,,,
2264,In the Court of Alagadda,,safe,extradimensional,Sarkicism,,,,,extradimensional,,artifact,,,,
2265,Dinner with Andrew,,euclid,building,,,,,,,,,,,,
2266,For the World to Dictate Her Death,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2267,Vibrations,,euclid,extradimensional,,,,,,extradimensional,,,,,,
2268,Loaf Page,,safe,computer,,,,,,computer,,,,,,
2269,Grandma Spider,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2270,An Unnecessary Utilization of Excessive Force,,euclid,extraterrestrial,,,,,,,,,,,,
2271,Factory Loans,,keter,document,,,,,,,,,,,,
2272,"Ellis Canastota, P, Pensacola Blue Wahoos",,euclid,infohazard,Oneiroi,,,,,,,,,,,
2273,"Major Alexei Belitrov, of the Red Army's 22nd Armored Infantry Division",,euclid,humanoid,,,,,humanoid,extradimensional,,sentient,,,,
2275,Where Muses Go,,euclid,document,,,,,,,,,,,,
2276,The Complete Works of William Shakespeare,,in deletion,[N/A],,,,,,,,,,,,
2277,Andronika Optima Maxima,,keter,computer,,,,,,computer,cognitohazard,,,,,
2279,THE PEOPLE'S PET STORE,,safe,humanoid,,,,,humanoid,animal,,,,,,
2280,Extra Nightly Cow,,euclid,animal,,,,,,animal,,,,,,
2281,Backseat Driver,,safe,sentient location,Global Occult C.,,,,,,,sentient / location,,,,
2282,Goat.,,euclid,animal,,,,,,animal,,,,,,
2283,The Death Globe,,in deletion,[N/A],,,,,,,,,,,,
2284,Mr. Lie,,euclid,humanoid,Dr. Wondertainment,,,,humanoid,,cognitohazard,sentient,,Male,,Indian
2286,If You Build a Better Mousetrap…,,safe,electrical,,,,,,,,,,,,
2288,Copy of A,,keter,humanoid,,,,,humanoid,,,sentient,,female,,white
2289,The Devils' Eyes,,euclid,animal,,,,,,animal,,,,,,
2290,It's fine.,,euclid,building,,,,,,,,,,,,
2292,Gorilla beringei necromantiae,,euclid,animal,MC&D Ltd,,,,,animal,,sentient,,,,
2295,The Bear with a Heart of Patchwork,,safe,autonomous,,,,,,,autonomous,,,,,
2298,Life in a Plastic Box,,euclid,extradimensional,,,,,,extradimensional,,sentient,,,,
2299,Cephalensis-9,,keter,mind-affecting,,,,,,,,,,,,
2300,Periodic Golems,,euclid,humanoid,,,,,humanoid,,autonomous,sentient,,,,
2301,Slayer's Song,,keter,humanoid,,,,,humanoid,,,sentient,,,,
2302,Funtime Happy Game Plan,,euclid,extradimensional,,,,,,extradimensional,cognitohazard,sentient,,,,
2303,Tower of Silence,,euclid,cognitohazard,,,,,,,cognitohazard,,,,,
2304,Automatron,,safe,humanoid structure,,,,,humanoid / structure,,autonomous,sentient,,,,
2305,great ideas that are TOTALY USELESS (lulz),,safe,document,,,,,,,,,,,,
2306,Revenant AI,,safe,computer,Anderson Robotics,,,,,computer,,,,,,
2307,The Pen Is Mightier,,safe,Weapon,Broken God,,,,,,,,,,,
2308,Futures Trading,,neutralized,vehicle,Prometheus Labs,,,,,,,,,,,
2309,Iron Wall of Dhul-Qarnayn,,euclid,structure,Broken God,,,,structure,extradimensional,,,,,,
2310,The House That Makes You Sarah Palmer,,euclid,building,,,,,,,,,,,,
2311,Baby Wizard,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2312,A Petty King,,keter,location,,,,,,,,location,,,,
2313,Sensory Deprivation,,safe,visual,,,,,,,,,,,,
2314,Проект Стебельчатый Глаз,,euclid,humanoid,GRU-P,,,,humanoid,animal,,sentient,,,,
2316,Field Trip,,keter,cognitohazard,,,,,,,cognitohazard,location,,,,
2318,Awake in the Infinite Cold,,safe,humanoid,,,,,humanoid,extradimensional,,location,,,,
2319,Mirrored Shipwreck,,safe,artifact,,,,,,,,artifact,,,,
2320,A Trolley,,safe,humanoid,,,,,humanoid,extradimensional,autonomous,sentient,,,,
2321,Foor Th'luv Uv God Doont Yuuz It,,safe,electronic,,,,,,,,,,,,
2322,Being Shirley Gillespie,,euclid,building,,,,,,,,,,,,
2323,Sentinel Butcher,,euclid,animal,,,,,,animal,cognitohazard,,,,,
2324,Her Majesty's Navy,,keter,humanoid,,,,,humanoid,,,,,,,
2325,Involuntary Bullet Catching,,safe,electronic,Prometheus Labs,,,,,,,,,,,
2327,Gastroesophageal Squirrels,,euclid,animal,,,,,,animal,,sentient,,,,
2328,The Hoarder's Son,,euclid,humanoid,,,,,humanoid,,,sentient,,male,,white
2330,A Convincing Whiteboard,,euclid,cognitohazard,,,,,,,cognitohazard,,,,,
2331,SCRAVECROW,,euclid,humanoid,,,,,humanoid,,autonomous,sentient,,,,
2333,One Week To Live,,safe,humanoid,,,,,humanoid,,,sentient,,,,
2334,Every Possible Photograph,,safe,structure,,,,,structure,,,,,,,
2335,The Filmmaker,,safe,computer,,,,,,computer,,,,,,
2336,The Word,,keter,extradimensional,,,,,,extradimensional,,,,,,
2337,Dr. Spanko,,euclid,animal,,,,,,animal,,sentient,,,,
2339,Bumblebee Philharmonic Orchestra,,safe,alive,,,,,,,,,,,,
2340,Homesick Hills,,euclid,subterranean,,,,,,,,,,,,
2341,Welcome Home,,safe,building,,,,,,,,,,,,
2344,The DoorWay,,euclid,extradimensional,,,,,,extradimensional,,,,,,
2345,Gray Anatomy,,euclid,visual,,,,,,,,,,,,
2346,Die Bescheidene,,euclid,cognitohazard,,,,,,,cognitohazard,,,,,
2347,Maxwell's Phoenix,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2349,Transmitting Ants,,euclid,metallic,,,,,,,,,,,,
2350,A Romance in Higher Dimensions,,neutralized,extradimensional,,,,,,extradimensional,,sentient / location,,,,
2351,A Wild Goose Chase,,safe,visual,Are We Cool Yet?,,,,,,,,,,,
2353,"The Mannequin That Will No Longer Put Up With This Shit, Honestly",,euclid,humanoid,,,,,humanoid,,autonomous,sentient,,,,
2356,Skylar's Wand,,safe,toy,Dr. Wondertainment,,,,,,,,,,,
2357,The Perfect SCP,,a threat,document,,,,,,,,,,,,
2358,I've seen this somewhere before…,,euclid,cognitohazard,,,,,,,cognitohazard,,,,,
2359,"Yesterday, Upon the Stair",,keter,humanoid,,,,,humanoid,,cognitohazard,sentient,,,,
2360,Cog of Duty,,euclid,humanoid,Broken God,,,,humanoid,computer,,,,,,
2361,Recurring Board Position,,euclid,extradimensional animal,,,,,,extradimensional / animal,,,,,,
2362,Not a Planet,,keter,extraterrestrial,,,,,,,,,,,,
2363,The Womb Farm,,euclid,humanoid,,,,,humanoid,,,location,,,,
2365,The universe is trying to tell you that it hates you,,euclid,ectoentropic,,,,,,,,,,,,
2366,Ils coopéraient ensemble,,safe,plant,,,,,,,,,,,,
2367,Splatzshtaffel,,safe,structure,,,,,structure,,,,,,,
2369,Suburban Dollhouse,,euclid,extradimensional,,,,,,extradimensional,,,,,,
2370,"Undo It, Retry It",,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2372,Soulmates,,safe,humanoid,,,,,humanoid,,,sentient,,,,
2376,Manufacturing God,,safe,electronic,Broken God,,,,,,,,,,,
2377,Your House,,safe,building,,,,,,,,,,,,
2380,The Left Kidney of Junior Researcher Østergaard,,safe,cognitohazard,,,,,,,cognitohazard,,,,,
2382,The Queen's Gallery,,safe,humanoid,,,,,humanoid,extradimensional,,,,,,
2383,A Different Kind of Light,,safe,document,,,,,,,,,,,,
2386,Pink Ladies,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
2389,Midas Magpie,,safe,animal,,,,,,animal,,sentient,,,,
2390,Illuminitis,,keter,mind-affecting,,,,,,,,,,,,
2392,Barrel of Monkeys,,safe,location,,,,,,,,location,,,,
2393,Trees These Days,,euclid,humanoid,,,,,humanoid,computer,,sentient,,,,
2394,Solitude,,euclid,computer,Chaos Insurgency,,,,,computer / animal,,sentient,,,,
2397,Homesickness,,safe,structure,,,,,structure,,cognitohazard,location,,,,
2399,A Malfunctioning Destroyer,,keter,extraterrestrial,,,,,,,,,,,,
2400,Temporal Dilation Facility,,thaumiel,extradimensional,,,,,,extradimensional,,artifact,,,,
2401,Mary Had a Little Lamb,,euclid,humanoid,,,,,humanoid,,,,,,,
2402,That Takes Me Back,,euclid,acoustic,,,,,,,,,,,,
2403,The Air Stair,,safe,location,,,,,,,,location,,,,
2404,Enki & Enki,,euclid,humanoid,,,,,humanoid,,,,,,,
2405,2017_acf_nats_fianls.mp4,,safe,computer,,,,,,computer,,,,,,
2406,The Colossus,,safe,Weapon,"Broken God, Sarkicism,GRU-P",,,,,,,,,,,
2407,Learned Helplessness,,euclid,cognitohazard,,,,,,,cognitohazard,,,,,
2408,Orok's Fall,,keter,humanoid structure,"GRU-P,Sarkicism",,,,humanoid / structure,,,sentient,,,,
2409,Lost Precinct,,safe,building,,,,,,,,,,,,
2410,Wax Moth Hive,,euclid,ectoentropic,,,,,,,,,,,,
2412,Cassandra Bot,,safe,humanoid,,,,,humanoid,,,sentient,,,,
2413,Critical Thinking,,safe,cognitohazard,,,,,,,cognitohazard,,,,,
2414,UnSCiPpable,,euclid,infohazard,"Serpents Hand,Unusual Incidents U.",,,,,,,,,,,
2416,The Day the Clown Died,,euclid,humanoid,,,,,humanoid,,,sentient,,male,,white
2420,A Good Dog,,neutralized,humanoid,,,,,humanoid,animal,,sentient,,,,
2421,Don't let the bathbugs bite,,euclid,extradimensional,,,,,,extradimensional,,,,,,
2422,A Friendly Family,,euclid,humanoid,,,,,humanoid,,,,,,,
